,start_station_id,start_station_latitude,start_station_longitude,start_station_name,average_daily_rides,postalCode
316,2002,40.716887,-73.963198,Wythe Ave & Metropolitan Ave,22.333333333333332,11211
317,2003,40.73416059,-73.98024289,1 Ave & E 18 St,50.0,10009
318,2004,40.724399,-74.004704,6 Ave & Broome St,17.0,10013
319,2005,40.70531194,-73.97100056,Railroad Ave & Kay Ave,2.5,11251
320,2006,40.76590936,-73.97634151,Central Park S & 6 Ave,43.333333333333336,00083
321,2008,40.70569254,-74.01677685,Little West St & 1 Pl,34.0,10280
322,2009,40.71117444,-73.99682619,Catherine St & Monroe St,13.333333333333334,10038
323,2010,40.72165481,-74.00234737,Grand St & Greene St,27.0,10013
324,2012,40.739445,-73.976806,E 27 St & 1 Ave,25.0,10016
325,2017,40.75022392,-73.97121414,E 43 St & 2 Ave,30.0,10017
326,2021,40.75929124,-73.98859651,W 45 St & 8 Ave,50.0,10036
327,2022,40.75849116,-73.95920622,E 59 St & Sutton Pl,32.0,10022
328,2023,40.75968085,-73.97031366,E 55 St & Lexington Ave,24.666666666666668,10022
329,3002,40.711512,-74.015756,South End Ave & Liberty St,67.66666666666667,10281
